"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"400","Total","08021 Bellprat","Ambos sexos",94
"401","0-4","08021 Bellprat","Ambos sexos",1
"402","05-09","08021 Bellprat","Ambos sexos",4
"403","10-14","08021 Bellprat","Ambos sexos",4
"404","15-19","08021 Bellprat","Ambos sexos",3
"405","20-24","08021 Bellprat","Ambos sexos",6
"406","25-29","08021 Bellprat","Ambos sexos",6
"407","30-34","08021 Bellprat","Ambos sexos",5
"408","35-39","08021 Bellprat","Ambos sexos",11
"409","40-44","08021 Bellprat","Ambos sexos",4
"410","45-49","08021 Bellprat","Ambos sexos",5
"411","50-54","08021 Bellprat","Ambos sexos",8
"412","55-59","08021 Bellprat","Ambos sexos",9
"413","60-64","08021 Bellprat","Ambos sexos",3
"414","65-69","08021 Bellprat","Ambos sexos",5
"415","70-74","08021 Bellprat","Ambos sexos",8
"416","75-79","08021 Bellprat","Ambos sexos",2
"417","80-84","08021 Bellprat","Ambos sexos",6
"418","85 y más","08021 Bellprat","Ambos sexos",4
"419","Total","08022 Berga","Ambos sexos",14995
"420","0-4","08022 Berga","Ambos sexos",565
"421","05-09","08022 Berga","Ambos sexos",562
"422","10-14","08022 Berga","Ambos sexos",639
"423","15-19","08022 Berga","Ambos sexos",788
"424","20-24","08022 Berga","Ambos sexos",1061
"425","25-29","08022 Berga","Ambos sexos",1151
"426","30-34","08022 Berga","Ambos sexos",998
"427","35-39","08022 Berga","Ambos sexos",1193
"428","40-44","08022 Berga","Ambos sexos",1249
"429","45-49","08022 Berga","Ambos sexos",1015
"430","50-54","08022 Berga","Ambos sexos",898
"431","55-59","08022 Berga","Ambos sexos",783
"432","60-64","08022 Berga","Ambos sexos",615
"433","65-69","08022 Berga","Ambos sexos",918
"434","70-74","08022 Berga","Ambos sexos",927
"435","75-79","08022 Berga","Ambos sexos",788
"436","80-84","08022 Berga","Ambos sexos",439
"437","85 y más","08022 Berga","Ambos sexos",406
"438","Total","08023 Bigues i Riells","Ambos sexos",6032
"439","0-4","08023 Bigues i Riells","Ambos sexos",358
"440","05-09","08023 Bigues i Riells","Ambos sexos",323
"441","10-14","08023 Bigues i Riells","Ambos sexos",336
"442","15-19","08023 Bigues i Riells","Ambos sexos",315
"443","20-24","08023 Bigues i Riells","Ambos sexos",410
"444","25-29","08023 Bigues i Riells","Ambos sexos",544
"445","30-34","08023 Bigues i Riells","Ambos sexos",632
"446","35-39","08023 Bigues i Riells","Ambos sexos",592
"447","40-44","08023 Bigues i Riells","Ambos sexos",560
"448","45-49","08023 Bigues i Riells","Ambos sexos",399
"449","50-54","08023 Bigues i Riells","Ambos sexos",395
"450","55-59","08023 Bigues i Riells","Ambos sexos",309
"451","60-64","08023 Bigues i Riells","Ambos sexos",245
"452","65-69","08023 Bigues i Riells","Ambos sexos",211
"453","70-74","08023 Bigues i Riells","Ambos sexos",166
"454","75-79","08023 Bigues i Riells","Ambos sexos",123
"455","80-84","08023 Bigues i Riells","Ambos sexos",60
"456","85 y más","08023 Bigues i Riells","Ambos sexos",54
"457","Total","08024 Borredà","Ambos sexos",497
"458","0-4","08024 Borredà","Ambos sexos",23
"459","05-09","08024 Borredà","Ambos sexos",19
"460","10-14","08024 Borredà","Ambos sexos",28
"461","15-19","08024 Borredà","Ambos sexos",20
"462","20-24","08024 Borredà","Ambos sexos",30
"463","25-29","08024 Borredà","Ambos sexos",25
"464","30-34","08024 Borredà","Ambos sexos",26
"465","35-39","08024 Borredà","Ambos sexos",51
"466","40-44","08024 Borredà","Ambos sexos",42
"467","45-49","08024 Borredà","Ambos sexos",36
"468","50-54","08024 Borredà","Ambos sexos",24
"469","55-59","08024 Borredà","Ambos sexos",32
"470","60-64","08024 Borredà","Ambos sexos",28
"471","65-69","08024 Borredà","Ambos sexos",29
"472","70-74","08024 Borredà","Ambos sexos",33
"473","75-79","08024 Borredà","Ambos sexos",27
"474","80-84","08024 Borredà","Ambos sexos",9
"475","85 y más","08024 Borredà","Ambos sexos",15
"476","Total","08025 Bruc (El)","Ambos sexos",1302
"477","0-4","08025 Bruc (El)","Ambos sexos",70
"478","05-09","08025 Bruc (El)","Ambos sexos",74
"479","10-14","08025 Bruc (El)","Ambos sexos",68
"480","15-19","08025 Bruc (El)","Ambos sexos",79
"481","20-24","08025 Bruc (El)","Ambos sexos",77
"482","25-29","08025 Bruc (El)","Ambos sexos",136
"483","30-34","08025 Bruc (El)","Ambos sexos",127
"484","35-39","08025 Bruc (El)","Ambos sexos",88
"485","40-44","08025 Bruc (El)","Ambos sexos",98
"486","45-49","08025 Bruc (El)","Ambos sexos",102
"487","50-54","08025 Bruc (El)","Ambos sexos",75
"488","55-59","08025 Bruc (El)","Ambos sexos",51
"489","60-64","08025 Bruc (El)","Ambos sexos",44
"490","65-69","08025 Bruc (El)","Ambos sexos",52
"491","70-74","08025 Bruc (El)","Ambos sexos",60
"492","75-79","08025 Bruc (El)","Ambos sexos",52
"493","80-84","08025 Bruc (El)","Ambos sexos",26
