"","Periodo","Sexo","Provincias","value"
"632","2015","Total","48 Bizkaia",1148775
"633","2014","Total","48 Bizkaia",1151905
"634","2013","Total","48 Bizkaia",1156447
"635","2012","Total","48 Bizkaia",1158439
"636","2011","Total","48 Bizkaia",1155772
"637","2010","Total","48 Bizkaia",1153724
"638","2009","Total","48 Bizkaia",1152658
"639","2008","Total","48 Bizkaia",1146421
"640","2007","Total","48 Bizkaia",1141457
"641","2006","Total","48 Bizkaia",1139863
"642","2005","Total","48 Bizkaia",1136181
"643","2004","Total","48 Bizkaia",1132861
"644","2003","Total","48 Bizkaia",1133428
"645","2002","Total","48 Bizkaia",1133444
"646","2001","Total","48 Bizkaia",1132616
"647","2000","Total","48 Bizkaia",1132729
"648","1999","Total","48 Bizkaia",1137418
"649","1998","Total","48 Bizkaia",1137594
"650","1997","Total","48 Bizkaia",NA
"651","1996","Total","48 Bizkaia",1140026
"652","2016","Hombres","48 Bizkaia",554342
"653","2015","Hombres","48 Bizkaia",554832
"654","2014","Hombres","48 Bizkaia",556772
"655","2013","Hombres","48 Bizkaia",559573
"656","2012","Hombres","48 Bizkaia",561134
"657","2011","Hombres","48 Bizkaia",560178
"658","2010","Hombres","48 Bizkaia",559359
"659","2009","Hombres","48 Bizkaia",559174
"660","2008","Hombres","48 Bizkaia",556095
"661","2007","Hombres","48 Bizkaia",553355
"662","2006","Hombres","48 Bizkaia",553501
"663","2005","Hombres","48 Bizkaia",552297
"664","2004","Hombres","48 Bizkaia",550836
"665","2003","Hombres","48 Bizkaia",551266
"666","2002","Hombres","48 Bizkaia",551288
"667","2001","Hombres","48 Bizkaia",550802
"668","2000","Hombres","48 Bizkaia",550880
"669","1999","Hombres","48 Bizkaia",553548
"670","1998","Hombres","48 Bizkaia",553761
"671","1997","Hombres","48 Bizkaia",NA
"672","1996","Hombres","48 Bizkaia",555274
"673","2016","Mujeres","48 Bizkaia",593234
"674","2015","Mujeres","48 Bizkaia",593943
"675","2014","Mujeres","48 Bizkaia",595133
"676","2013","Mujeres","48 Bizkaia",596874
"677","2012","Mujeres","48 Bizkaia",597305
"678","2011","Mujeres","48 Bizkaia",595594
"679","2010","Mujeres","48 Bizkaia",594365
"680","2009","Mujeres","48 Bizkaia",593484
"681","2008","Mujeres","48 Bizkaia",590326
"682","2007","Mujeres","48 Bizkaia",588102
"683","2006","Mujeres","48 Bizkaia",586362
"684","2005","Mujeres","48 Bizkaia",583884
"685","2004","Mujeres","48 Bizkaia",582025
"686","2003","Mujeres","48 Bizkaia",582162
"687","2002","Mujeres","48 Bizkaia",582156
"688","2001","Mujeres","48 Bizkaia",581814
"689","2000","Mujeres","48 Bizkaia",581849
"690","1999","Mujeres","48 Bizkaia",583870
"691","1998","Mujeres","48 Bizkaia",583833
"692","1997","Mujeres","48 Bizkaia",NA
"693","1996","Mujeres","48 Bizkaia",584752
"694","2016","Total","09 Burgos",360995
"695","2015","Total","09 Burgos",364002
"696","2014","Total","09 Burgos",366900
"697","2013","Total","09 Burgos",371248
"698","2012","Total","09 Burgos",374970
"699","2011","Total","09 Burgos",375657
"700","2010","Total","09 Burgos",374826
"701","2009","Total","09 Burgos",375563
"702","2008","Total","09 Burgos",373672
"703","2007","Total","09 Burgos",365972
"704","2006","Total","09 Burgos",363874
"705","2005","Total","09 Burgos",361021
"706","2004","Total","09 Burgos",356437
"707","2003","Total","09 Burgos",355205
"708","2002","Total","09 Burgos",352723
"709","2001","Total","09 Burgos",349810
"710","2000","Total","09 Burgos",347240
"711","1999","Total","09 Burgos",347218
"712","1998","Total","09 Burgos",346355
"713","1997","Total","09 Burgos",NA
"714","1996","Total","09 Burgos",350074
"715","2016","Hombres","09 Burgos",180418
"716","2015","Hombres","09 Burgos",182142
"717","2014","Hombres","09 Burgos",183882
"718","2013","Hombres","09 Burgos",186638
"719","2012","Hombres","09 Burgos",189124
"720","2011","Hombres","09 Burgos",189652
"721","2010","Hombres","09 Burgos",189454
"722","2009","Hombres","09 Burgos",190271
"723","2008","Hombres","09 Burgos",189675
"724","2007","Hombres","09 Burgos",184713
"725","2006","Hombres","09 Burgos",183355
"726","2005","Hombres","09 Burgos",181610
"727","2004","Hombres","09 Burgos",178943
"728","2003","Hombres","09 Burgos",178140
"729","2002","Hombres","09 Burgos",176770
"730","2001","Hombres","09 Burgos",175237
"731","2000","Hombres","09 Burgos",173695
"732","1999","Hombres","09 Burgos",173729
"733","1998","Hombres","09 Burgos",173195
"734","1997","Hombres","09 Burgos",NA
"735","1996","Hombres","09 Burgos",175247
"736","2016","Mujeres","09 Burgos",180577
"737","2015","Mujeres","09 Burgos",181860
"738","2014","Mujeres","09 Burgos",183018
"739","2013","Mujeres","09 Burgos",184610
"740","2012","Mujeres","09 Burgos",185846
"741","2011","Mujeres","09 Burgos",186005
"742","2010","Mujeres","09 Burgos",185372
"743","2009","Mujeres","09 Burgos",185292
"744","2008","Mujeres","09 Burgos",183997
"745","2007","Mujeres","09 Burgos",181259
"746","2006","Mujeres","09 Burgos",180519
"747","2005","Mujeres","09 Burgos",179411
"748","2004","Mujeres","09 Burgos",177494
"749","2003","Mujeres","09 Burgos",177065
"750","2002","Mujeres","09 Burgos",175953
"751","2001","Mujeres","09 Burgos",174573
"752","2000","Mujeres","09 Burgos",173545
"753","1999","Mujeres","09 Burgos",173489
"754","1998","Mujeres","09 Burgos",173160
"755","1997","Mujeres","09 Burgos",NA
"756","1996","Mujeres","09 Burgos",174827
"757","2016","Total","10 Cáceres",403665
"758","2015","Total","10 Cáceres",406267
"759","2014","Total","10 Cáceres",408703
"760","2013","Total","10 Cáceres",410275
"761","2012","Total","10 Cáceres",413597
"762","2011","Total","10 Cáceres",415446
"763","2010","Total","10 Cáceres",415083
"764","2009","Total","10 Cáceres",413633
"765","2008","Total","10 Cáceres",412498
"766","2007","Total","10 Cáceres",411531
"767","2006","Total","10 Cáceres",412899
"768","2005","Total","10 Cáceres",412580
"769","2004","Total","10 Cáceres",411390
"770","2003","Total","10 Cáceres",410762
"771","2002","Total","10 Cáceres",410242
"772","2001","Total","10 Cáceres",409130
"773","2000","Total","10 Cáceres",407546
"774","1999","Total","10 Cáceres",408949
"775","1998","Total","10 Cáceres",405616
"776","1997","Total","10 Cáceres",NA
"777","1996","Total","10 Cáceres",413396
"778","2016","Hombres","10 Cáceres",200285
"779","2015","Hombres","10 Cáceres",201702
"780","2014","Hombres","10 Cáceres",202962
"781","2013","Hombres","10 Cáceres",203758
"782","2012","Hombres","10 Cáceres",205634
"783","2011","Hombres","10 Cáceres",206573
"784","2010","Hombres","10 Cáceres",206358
"785","2009","Hombres","10 Cáceres",205638
"786","2008","Hombres","10 Cáceres",205949
"787","2007","Hombres","10 Cáceres",205481
"788","2006","Hombres","10 Cáceres",206593
"789","2005","Hombres","10 Cáceres",206744
"790","2004","Hombres","10 Cáceres",206185
"791","2003","Hombres","10 Cáceres",206089
"792","2002","Hombres","10 Cáceres",205848
"793","2001","Hombres","10 Cáceres",205195
"794","2000","Hombres","10 Cáceres",203946
"795","1999","Hombres","10 Cáceres",204965
"796","1998","Hombres","10 Cáceres",202834
"797","1997","Hombres","10 Cáceres",NA
"798","1996","Hombres","10 Cáceres",205735
"799","2016","Mujeres","10 Cáceres",203380
"800","2015","Mujeres","10 Cáceres",204565
"801","2014","Mujeres","10 Cáceres",205741
"802","2013","Mujeres","10 Cáceres",206517
"803","2012","Mujeres","10 Cáceres",207963
"804","2011","Mujeres","10 Cáceres",208873
"805","2010","Mujeres","10 Cáceres",208725
"806","2009","Mujeres","10 Cáceres",207995
"807","2008","Mujeres","10 Cáceres",206549
"808","2007","Mujeres","10 Cáceres",206050
"809","2006","Mujeres","10 Cáceres",206306
"810","2005","Mujeres","10 Cáceres",205836
"811","2004","Mujeres","10 Cáceres",205205
"812","2003","Mujeres","10 Cáceres",204673
"813","2002","Mujeres","10 Cáceres",204394
"814","2001","Mujeres","10 Cáceres",203935
"815","2000","Mujeres","10 Cáceres",203600
"816","1999","Mujeres","10 Cáceres",203984
"817","1998","Mujeres","10 Cáceres",202782
"818","1997","Mujeres","10 Cáceres",NA
"819","1996","Mujeres","10 Cáceres",207661
"820","2016","Total","11 Cádiz",1239889
"821","2015","Total","11 Cádiz",1240284
"822","2014","Total","11 Cádiz",1240175
"823","2013","Total","11 Cádiz",1238492
"824","2012","Total","11 Cádiz",1245164
"825","2011","Total","11 Cádiz",1243519
"826","2010","Total","11 Cádiz",1236739
"827","2009","Total","11 Cádiz",1230594
"828","2008","Total","11 Cádiz",1220467
"829","2007","Total","11 Cádiz",1207343
"830","2006","Total","11 Cádiz",1194062
"831","2005","Total","11 Cádiz",1180817
"832","2004","Total","11 Cádiz",1164374
"833","2003","Total","11 Cádiz",1155724
"834","2002","Total","11 Cádiz",1140793
"835","2001","Total","11 Cádiz",1131346
"836","2000","Total","11 Cádiz",1125105
"837","1999","Total","11 Cádiz",1119802
"838","1998","Total","11 Cádiz",1107484
"839","1997","Total","11 Cádiz",NA
"840","1996","Total","11 Cádiz",1105762
"841","2016","Hombres","11 Cádiz",612858
"842","2015","Hombres","11 Cádiz",613094
"843","2014","Hombres","11 Cádiz",613340
"844","2013","Hombres","11 Cádiz",612770
"845","2012","Hombres","11 Cádiz",616686
"846","2011","Hombres","11 Cádiz",615865
"847","2010","Hombres","11 Cádiz",612833
"848","2009","Hombres","11 Cádiz",609984
"849","2008","Hombres","11 Cádiz",608616
"850","2007","Hombres","11 Cádiz",601832
"851","2006","Hombres","11 Cádiz",594647
"852","2005","Hombres","11 Cádiz",587700
"853","2004","Hombres","11 Cádiz",578939
"854","2003","Hombres","11 Cádiz",573992
"855","2002","Hombres","11 Cádiz",566033
"856","2001","Hombres","11 Cádiz",561330
"857","2000","Hombres","11 Cádiz",557963
"858","1999","Hombres","11 Cádiz",555684
"859","1998","Hombres","11 Cádiz",549120
"860","1997","Hombres","11 Cádiz",NA
"861","1996","Hombres","11 Cádiz",548263
"862","2016","Mujeres","11 Cádiz",627031
"863","2015","Mujeres","11 Cádiz",627190
"864","2014","Mujeres","11 Cádiz",626835
"865","2013","Mujeres","11 Cádiz",625722
"866","2012","Mujeres","11 Cádiz",628478
"867","2011","Mujeres","11 Cádiz",627654
"868","2010","Mujeres","11 Cádiz",623906
"869","2009","Mujeres","11 Cádiz",620610
"870","2008","Mujeres","11 Cádiz",611851
"871","2007","Mujeres","11 Cádiz",605511
"872","2006","Mujeres","11 Cádiz",599415
"873","2005","Mujeres","11 Cádiz",593117
"874","2004","Mujeres","11 Cádiz",585435
"875","2003","Mujeres","11 Cádiz",581732
"876","2002","Mujeres","11 Cádiz",574760
"877","2001","Mujeres","11 Cádiz",570016
"878","2000","Mujeres","11 Cádiz",567142
"879","1999","Mujeres","11 Cádiz",564118
"880","1998","Mujeres","11 Cádiz",558364
"881","1997","Mujeres","11 Cádiz",NA
"882","1996","Mujeres","11 Cádiz",557499
"883","2016","Total","39 Cantabria",582206
"884","2015","Total","39 Cantabria",585179
"885","2014","Total","39 Cantabria",588656
"886","2013","Total","39 Cantabria",591888
"887","2012","Total","39 Cantabria",593861
"888","2011","Total","39 Cantabria",593121
"889","2010","Total","39 Cantabria",592250
"890","2009","Total","39 Cantabria",589235
"891","2008","Total","39 Cantabria",582138
"892","2007","Total","39 Cantabria",572824
"893","2006","Total","39 Cantabria",568091
"894","2005","Total","39 Cantabria",562309
"895","2004","Total","39 Cantabria",554784
"896","2003","Total","39 Cantabria",549690
"897","2002","Total","39 Cantabria",542275
"898","2001","Total","39 Cantabria",537606
"899","2000","Total","39 Cantabria",531159
"900","1999","Total","39 Cantabria",528478
"901","1998","Total","39 Cantabria",527137
"902","1997","Total","39 Cantabria",NA
"903","1996","Total","39 Cantabria",527437
"904","2016","Hombres","39 Cantabria",282988
"905","2015","Hombres","39 Cantabria",284788
"906","2014","Hombres","39 Cantabria",286782
"907","2013","Hombres","39 Cantabria",288643
"908","2012","Hombres","39 Cantabria",289999
"909","2011","Hombres","39 Cantabria",289872
"910","2010","Hombres","39 Cantabria",289931
"911","2009","Hombres","39 Cantabria",288735
"912","2008","Hombres","39 Cantabria",285469
"913","2007","Hombres","39 Cantabria",280283
"914","2006","Hombres","39 Cantabria",277869
"915","2005","Hombres","39 Cantabria",274797
"916","2004","Hombres","39 Cantabria",270907
"917","2003","Hombres","39 Cantabria",268309
"918","2002","Hombres","39 Cantabria",264492
"919","2001","Hombres","39 Cantabria",261967
"920","2000","Hombres","39 Cantabria",258682
"921","1999","Hombres","39 Cantabria",257495
"922","1998","Hombres","39 Cantabria",256766
"923","1997","Hombres","39 Cantabria",NA
"924","1996","Hombres","39 Cantabria",256946
"925","2016","Mujeres","39 Cantabria",299218
"926","2015","Mujeres","39 Cantabria",300391
"927","2014","Mujeres","39 Cantabria",301874
"928","2013","Mujeres","39 Cantabria",303245
"929","2012","Mujeres","39 Cantabria",303862
"930","2011","Mujeres","39 Cantabria",303249
"931","2010","Mujeres","39 Cantabria",302319
"932","2009","Mujeres","39 Cantabria",300500
"933","2008","Mujeres","39 Cantabria",296669
"934","2007","Mujeres","39 Cantabria",292541
"935","2006","Mujeres","39 Cantabria",290222
"936","2005","Mujeres","39 Cantabria",287512
"937","2004","Mujeres","39 Cantabria",283877
"938","2003","Mujeres","39 Cantabria",281381
"939","2002","Mujeres","39 Cantabria",277783
"940","2001","Mujeres","39 Cantabria",275639
"941","2000","Mujeres","39 Cantabria",272477
"942","1999","Mujeres","39 Cantabria",270983
"943","1998","Mujeres","39 Cantabria",270371
"944","1997","Mujeres","39 Cantabria",NA
"945","1996","Mujeres","39 Cantabria",270491
"946","2016","Total","12 Castellón/Castelló",579245
"947","2015","Total","12 Castellón/Castelló",582327
"948","2014","Total","12 Castellón/Castelló",587508
"949","2013","Total","12 Castellón/Castelló",601699
"950","2012","Total","12 Castellón/Castelló",604564
"951","2011","Total","12 Castellón/Castelló",604344
"952","2010","Total","12 Castellón/Castelló",604274
"953","2009","Total","12 Castellón/Castelló",602301
"954","2008","Total","12 Castellón/Castelló",594915
"955","2007","Total","12 Castellón/Castelló",573282
"956","2006","Total","12 Castellón/Castelló",559761
"957","2005","Total","12 Castellón/Castelló",543432
"958","2004","Total","12 Castellón/Castelló",527345
"959","2003","Total","12 Castellón/Castelló",518239
"960","2002","Total","12 Castellón/Castelló",501237
"961","2001","Total","12 Castellón/Castelló",485173
"962","2000","Total","12 Castellón/Castelló",474385
"963","1999","Total","12 Castellón/Castelló",467895
"964","1998","Total","12 Castellón/Castelló",461712
"965","1997","Total","12 Castellón/Castelló",NA
"966","1996","Total","12 Castellón/Castelló",456727
"967","2016","Hombres","12 Castellón/Castelló",287802
"968","2015","Hombres","12 Castellón/Castelló",289720
"969","2014","Hombres","12 Castellón/Castelló",292804
"970","2013","Hombres","12 Castellón/Castelló",300992
"971","2012","Hombres","12 Castellón/Castelló",302927
"972","2011","Hombres","12 Castellón/Castelló",302855
"973","2010","Hombres","12 Castellón/Castelló",303490
"974","2009","Hombres","12 Castellón/Castelló",303460
"975","2008","Hombres","12 Castellón/Castelló",299829
"976","2007","Hombres","12 Castellón/Castelló",288079
"977","2006","Hombres","12 Castellón/Castelló",281340
"978","2005","Hombres","12 Castellón/Castelló",272714
"979","2004","Hombres","12 Castellón/Castelló",264099
"980","2003","Hombres","12 Castellón/Castelló",259437
"981","2002","Hombres","12 Castellón/Castelló",250410
"982","2001","Hombres","12 Castellón/Castelló",241143
"983","2000","Hombres","12 Castellón/Castelló",235070
"984","1999","Hombres","12 Castellón/Castelló",231578
"985","1998","Hombres","12 Castellón/Castelló",228231
"986","1997","Hombres","12 Castellón/Castelló",NA
"987","1996","Hombres","12 Castellón/Castelló",225406
"988","2016","Mujeres","12 Castellón/Castelló",291443
"989","2015","Mujeres","12 Castellón/Castelló",292607
"990","2014","Mujeres","12 Castellón/Castelló",294704
"991","2013","Mujeres","12 Castellón/Castelló",300707
"992","2012","Mujeres","12 Castellón/Castelló",301637
"993","2011","Mujeres","12 Castellón/Castelló",301489
"994","2010","Mujeres","12 Castellón/Castelló",300784
"995","2009","Mujeres","12 Castellón/Castelló",298841
"996","2008","Mujeres","12 Castellón/Castelló",295086
"997","2007","Mujeres","12 Castellón/Castelló",285203
"998","2006","Mujeres","12 Castellón/Castelló",278421
"999","2005","Mujeres","12 Castellón/Castelló",270718
"1000","2004","Mujeres","12 Castellón/Castelló",263246
"1001","2003","Mujeres","12 Castellón/Castelló",258802
"1002","2002","Mujeres","12 Castellón/Castelló",250827
"1003","2001","Mujeres","12 Castellón/Castelló",244030
"1004","2000","Mujeres","12 Castellón/Castelló",239315
"1005","1999","Mujeres","12 Castellón/Castelló",236317
"1006","1998","Mujeres","12 Castellón/Castelló",233481
"1007","1997","Mujeres","12 Castellón/Castelló",NA
"1008","1996","Mujeres","12 Castellón/Castelló",231321
"1009","2016","Total","13 Ciudad Real",506888
"1010","2015","Total","13 Ciudad Real",513713
"1011","2014","Total","13 Ciudad Real",519613
"1012","2013","Total","13 Ciudad Real",524962
"1013","2012","Total","13 Ciudad Real",530250
"1014","2011","Total","13 Ciudad Real",530175
"1015","2010","Total","13 Ciudad Real",529453
"1016","2009","Total","13 Ciudad Real",527273
"1017","2008","Total","13 Ciudad Real",522343
"1018","2007","Total","13 Ciudad Real",510122
"1019","2006","Total","13 Ciudad Real",506864
"1020","2005","Total","13 Ciudad Real",500060
"1021","2004","Total","13 Ciudad Real",492914
"1022","2003","Total","13 Ciudad Real",487670
"1023","2002","Total","13 Ciudad Real",484338
"1024","2001","Total","13 Ciudad Real",478581
"1025","2000","Total","13 Ciudad Real",476633
"1026","1999","Total","13 Ciudad Real",479087
"1027","1998","Total","13 Ciudad Real",479474
"1028","1997","Total","13 Ciudad Real",NA
"1029","1996","Total","13 Ciudad Real",478672
"1030","2016","Hombres","13 Ciudad Real",250847
"1031","2015","Hombres","13 Ciudad Real",254571
"1032","2014","Hombres","13 Ciudad Real",257918
"1033","2013","Hombres","13 Ciudad Real",260888
"1034","2012","Hombres","13 Ciudad Real",264067
"1035","2011","Hombres","13 Ciudad Real",264078
"1036","2010","Hombres","13 Ciudad Real",264098
"1037","2009","Hombres","13 Ciudad Real",263038
"1038","2008","Hombres","13 Ciudad Real",260649
"1039","2007","Hombres","13 Ciudad Real",253473
"1040","2006","Hombres","13 Ciudad Real",251565
"1041","2005","Hombres","13 Ciudad Real",247795
"1042","2004","Hombres","13 Ciudad Real",243698
"1043","2003","Hombres","13 Ciudad Real",240603
"1044","2002","Hombres","13 Ciudad Real",238380
"1045","2001","Hombres","13 Ciudad Real",234988
"1046","2000","Hombres","13 Ciudad Real",233538
"1047","1999","Hombres","13 Ciudad Real",234828
"1048","1998","Hombres","13 Ciudad Real",234972
"1049","1997","Hombres","13 Ciudad Real",NA
"1050","1996","Hombres","13 Ciudad Real",234355
"1051","2016","Mujeres","13 Ciudad Real",256041
"1052","2015","Mujeres","13 Ciudad Real",259142
"1053","2014","Mujeres","13 Ciudad Real",261695
"1054","2013","Mujeres","13 Ciudad Real",264074
"1055","2012","Mujeres","13 Ciudad Real",266183
"1056","2011","Mujeres","13 Ciudad Real",266097
"1057","2010","Mujeres","13 Ciudad Real",265355
"1058","2009","Mujeres","13 Ciudad Real",264235
"1059","2008","Mujeres","13 Ciudad Real",261694
"1060","2007","Mujeres","13 Ciudad Real",256649
"1061","2006","Mujeres","13 Ciudad Real",255299
"1062","2005","Mujeres","13 Ciudad Real",252265
"1063","2004","Mujeres","13 Ciudad Real",249216
"1064","2003","Mujeres","13 Ciudad Real",247067
"1065","2002","Mujeres","13 Ciudad Real",245958
"1066","2001","Mujeres","13 Ciudad Real",243593
"1067","2000","Mujeres","13 Ciudad Real",243095
"1068","1999","Mujeres","13 Ciudad Real",244259
"1069","1998","Mujeres","13 Ciudad Real",244502
"1070","1997","Mujeres","13 Ciudad Real",NA
"1071","1996","Mujeres","13 Ciudad Real",244317
"1072","2016","Total","14 Córdoba",791610
"1073","2015","Total","14 Córdoba",795611
"1074","2014","Total","14 Córdoba",799402
"1075","2013","Total","14 Córdoba",802422
"1076","2012","Total","14 Córdoba",804498
"1077","2011","Total","14 Córdoba",805857
"1078","2010","Total","14 Córdoba",805108
"1079","2009","Total","14 Córdoba",803998
"1080","2008","Total","14 Córdoba",798822
"1081","2007","Total","14 Córdoba",792182
"1082","2006","Total","14 Córdoba",788287
"1083","2005","Total","14 Córdoba",784376
"1084","2004","Total","14 Córdoba",779870
"1085","2003","Total","14 Córdoba",775944
"1086","2002","Total","14 Córdoba",771131
"1087","2001","Total","14 Córdoba",769625
"1088","2000","Total","14 Córdoba",769237
"1089","1999","Total","14 Córdoba",768676
"1090","1998","Total","14 Córdoba",767175
"1091","1997","Total","14 Córdoba",NA
"1092","1996","Total","14 Córdoba",761401
"1093","2016","Hombres","14 Córdoba",388470
"1094","2015","Hombres","14 Córdoba",390559
"1095","2014","Hombres","14 Córdoba",392644
"1096","2013","Hombres","14 Córdoba",394189
"1097","2012","Hombres","14 Córdoba",395300
"1098","2011","Hombres","14 Córdoba",395858
"1099","2010","Hombres","14 Córdoba",395570
"1100","2009","Hombres","14 Córdoba",395225
"1101","2008","Hombres","14 Córdoba",392658
"1102","2007","Hombres","14 Córdoba",389173
"1103","2006","Hombres","14 Córdoba",386939
"1104","2005","Hombres","14 Córdoba",384749
"1105","2004","Hombres","14 Córdoba",382213
"1106","2003","Hombres","14 Córdoba",379989
"1107","2002","Hombres","14 Córdoba",377328
"1108","2001","Hombres","14 Córdoba",376511
"1109","2000","Hombres","14 Córdoba",376308
"1110","1999","Hombres","14 Córdoba",376237
"1111","1998","Hombres","14 Córdoba",375244
"1112","1997","Hombres","14 Córdoba",NA
"1113","1996","Hombres","14 Córdoba",372249
"1114","2016","Mujeres","14 Córdoba",403140
"1115","2015","Mujeres","14 Córdoba",405052
"1116","2014","Mujeres","14 Córdoba",406758
"1117","2013","Mujeres","14 Córdoba",408233
"1118","2012","Mujeres","14 Córdoba",409198
"1119","2011","Mujeres","14 Córdoba",409999
"1120","2010","Mujeres","14 Córdoba",409538
"1121","2009","Mujeres","14 Córdoba",408773
"1122","2008","Mujeres","14 Córdoba",406164
"1123","2007","Mujeres","14 Córdoba",403009
"1124","2006","Mujeres","14 Córdoba",401348
"1125","2005","Mujeres","14 Córdoba",399627
"1126","2004","Mujeres","14 Córdoba",397657
"1127","2003","Mujeres","14 Córdoba",395955
"1128","2002","Mujeres","14 Córdoba",393803
"1129","2001","Mujeres","14 Córdoba",393114
"1130","2000","Mujeres","14 Córdoba",392929
"1131","1999","Mujeres","14 Córdoba",392439
"1132","1998","Mujeres","14 Córdoba",391931
"1133","1997","Mujeres","14 Córdoba",NA
"1134","1996","Mujeres","14 Córdoba",389152
"1135","2016","Total","15 Coruña, A",1122799
"1136","2015","Total","15 Coruña, A",1127196
"1137","2014","Total","15 Coruña, A",1132735
"1138","2013","Total","15 Coruña, A",1138161
"1139","2012","Total","15 Coruña, A",1143911
"1140","2011","Total","15 Coruña, A",1147124
"1141","2010","Total","15 Coruña, A",1146458
"1142","2009","Total","15 Coruña, A",1145488
"1143","2008","Total","15 Coruña, A",1139121
"1144","2007","Total","15 Coruña, A",1132792
"1145","2006","Total","15 Coruña, A",1129141
"1146","2005","Total","15 Coruña, A",1126707
"1147","2004","Total","15 Coruña, A",1121344
"1148","2003","Total","15 Coruña, A",1120814
"1149","2002","Total","15 Coruña, A",1111886
"1150","2001","Total","15 Coruña, A",1108002
"1151","2000","Total","15 Coruña, A",1108419
"1152","1999","Total","15 Coruña, A",1108980
"1153","1998","Total","15 Coruña, A",1106325
"1154","1997","Total","15 Coruña, A",NA
"1155","1996","Total","15 Coruña, A",1110302
"1156","2016","Hombres","15 Coruña, A",538878
"1157","2015","Hombres","15 Coruña, A",541292
"1158","2014","Hombres","15 Coruña, A",544075
"1159","2013","Hombres","15 Coruña, A",547079
"1160","2012","Hombres","15 Coruña, A",550009
"1161","2011","Hombres","15 Coruña, A",551476
"1162","2010","Hombres","15 Coruña, A",551318
"1163","2009","Hombres","15 Coruña, A",550841
"1164","2008","Hombres","15 Coruña, A",548037
"1165","2007","Hombres","15 Coruña, A",544352
"1166","2006","Hombres","15 Coruña, A",542260
"1167","2005","Hombres","15 Coruña, A",541189
"1168","2004","Hombres","15 Coruña, A",538764
"1169","2003","Hombres","15 Coruña, A",538469
"1170","2002","Hombres","15 Coruña, A",533914
"1171","2001","Hombres","15 Coruña, A",532039
"1172","2000","Hombres","15 Coruña, A",531744
"1173","1999","Hombres","15 Coruña, A",532943
"1174","1998","Hombres","15 Coruña, A",531769
"1175","1997","Hombres","15 Coruña, A",NA
"1176","1996","Hombres","15 Coruña, A",533921
"1177","2016","Mujeres","15 Coruña, A",583921
"1178","2015","Mujeres","15 Coruña, A",585904
"1179","2014","Mujeres","15 Coruña, A",588660
"1180","2013","Mujeres","15 Coruña, A",591082
"1181","2012","Mujeres","15 Coruña, A",593902
"1182","2011","Mujeres","15 Coruña, A",595648
"1183","2010","Mujeres","15 Coruña, A",595140
"1184","2009","Mujeres","15 Coruña, A",594647
"1185","2008","Mujeres","15 Coruña, A",591084
"1186","2007","Mujeres","15 Coruña, A",588440
"1187","2006","Mujeres","15 Coruña, A",586881
"1188","2005","Mujeres","15 Coruña, A",585518
"1189","2004","Mujeres","15 Coruña, A",582580
"1190","2003","Mujeres","15 Coruña, A",582345
"1191","2002","Mujeres","15 Coruña, A",577972
"1192","2001","Mujeres","15 Coruña, A",575963
"1193","2000","Mujeres","15 Coruña, A",576675
"1194","1999","Mujeres","15 Coruña, A",576037
"1195","1998","Mujeres","15 Coruña, A",574556
"1196","1997","Mujeres","15 Coruña, A",NA
"1197","1996","Mujeres","15 Coruña, A",576381
"1198","2016","Total","16 Cuenca",201071
"1199","2015","Total","16 Cuenca",203841
"1200","2014","Total","16 Cuenca",207449
"1201","2013","Total","16 Cuenca",211899
"1202","2012","Total","16 Cuenca",218036
"1203","2011","Total","16 Cuenca",219138
"1204","2010","Total","16 Cuenca",217716
"1205","2009","Total","16 Cuenca",217363
"1206","2008","Total","16 Cuenca",215274
"1207","2007","Total","16 Cuenca",211375
"1208","2006","Total","16 Cuenca",208616
"1209","2005","Total","16 Cuenca",207974
"1210","2004","Total","16 Cuenca",204546
"1211","2003","Total","16 Cuenca",202982
"1212","2002","Total","16 Cuenca",201614
"1213","2001","Total","16 Cuenca",201526
"1214","2000","Total","16 Cuenca",201053
"1215","1999","Total","16 Cuenca",200963
"1216","1998","Total","16 Cuenca",199086
"1217","1997","Total","16 Cuenca",NA
"1218","1996","Total","16 Cuenca",201712
"1219","2016","Hombres","16 Cuenca",101097
"1220","2015","Hombres","16 Cuenca",102583
"1221","2014","Hombres","16 Cuenca",104586
"1222","2013","Hombres","16 Cuenca",107111
"1223","2012","Hombres","16 Cuenca",110460
"1224","2011","Hombres","16 Cuenca",111052
"1225","2010","Hombres","16 Cuenca",110384
"1226","2009","Hombres","16 Cuenca",110282
"1227","2008","Hombres","16 Cuenca",109058
"1228","2007","Hombres","16 Cuenca",106633
"1229","2006","Hombres","16 Cuenca",105068
"1230","2005","Hombres","16 Cuenca",104912
"1231","2004","Hombres","16 Cuenca",102947
"1232","2003","Hombres","16 Cuenca",102040
"1233","2002","Hombres","16 Cuenca",101048
"1234","2001","Hombres","16 Cuenca",100630
"1235","2000","Hombres","16 Cuenca",100126
"1236","1999","Hombres","16 Cuenca",100088
"1237","1998","Hombres","16 Cuenca",99031
"1238","1997","Hombres","16 Cuenca",NA
"1239","1996","Hombres","16 Cuenca",100387
"1240","2016","Mujeres","16 Cuenca",99974
"1241","2015","Mujeres","16 Cuenca",101258
"1242","2014","Mujeres","16 Cuenca",102863
